po_number,supplier_name,supplier_id,minority_supplier_certificate,sustainability_rating,financial_health_score,service_name,parent_category,category,description,catalog_id,route,equipment,total_weight_lbs,quantity,dimensions,distance_miles,base_rate_per_mile,fuel_surcharge,detention_rate_per_hour,liftgate_service_rate,total_estimated_cost,contract_utilised,payment_terms,currency,unit_of_measure,country,po_date,pickup_date,delivery_date,"
actual_receipt_date",special_instructions,additional_terms_and_conditions,additional_services,contract_id,contract_value,contract_term,contract_start_date,contract_end_date,authorized_by,ship_from,ship_from_address,ship_to,ship_to_address,department,cost_center,gl_account_id,requester
PO9905,C.H. Robinson,SUP0052,yes,4.3,4.6,LTL,Transportation Service,Ground freight,"With the growth of ecommerce, less than truckload (LTL) cargo shipping demands more flexibility than ever. Manage spend without sacrificing speed—let us help you find the right combination of LTL cargo services to gain efficiencies while exceeding customer expectations.",CAT5665,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.8,0.17,79,0.11,7336,7335.7826,Net 60 days,USD,plt,US,4/16/2024,4/21/2024,4/24/2024,4/24/2024,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,CON7317,6000000.0,3.0,12/12/2022,12/12/2025,Jose Tran,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Marketing,CC83,GL3338,Ratha Natarajanan
PO9975,C.H. Robinson,SUP0052,yes,4.3,4.6,LTL,Transportation Service,Ground freight,"With the growth of ecommerce, less than truckload (LTL) cargo shipping demands more flexibility than ever. Manage spend without sacrificing speed—let us help you find the right combination of LTL cargo services to gain efficiencies while exceeding customer expectations.",CAT5665,Ohio to Brampton,Dry Van,8000,8,48 x 40 x 60 (per pallet),327,2.8,0.17,96,0.11,14377,14377.25216,Net 30 days,USD,plt,US,6/5/2024,6/7/2024,6/9/2024,6/9/2024,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Debris Removal,CON7317,6000000.0,3.0,12/12/2022,12/12/2025,Alexis Wilson,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Finance,CC81,GL3338,Ratha Natarajanan
PO9992,C.H. Robinson,SUP0052,yes,4.3,4.6,LTL,Transportation Service,Ground freight,"With the growth of ecommerce, less than truckload (LTL) cargo shipping demands more flexibility than ever. Manage spend without sacrificing speed—let us help you find the right combination of LTL cargo services to gain efficiencies while exceeding customer expectations.",CAT5665,Ohio to Brampton,Dry Van,8000,8,48 x 40 x 60 (per pallet),327,2.8,0.17,96,0.11,14377,14377.25216,Net 60 days,USD,plt,US,6/21/2024,6/23/2024,6/25/2024,6/25/2024,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Pallet Jack,CON7317,6000000.0,3.0,12/12/2022,12/12/2025,Allison Howard,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Marketing,CC83,GL3338,Ratha Natarajanan
PO9984,C.H. Robinson,SUP0052,yes,4.3,4.6,LTL,Transportation Service,Ground freight,"With the growth of ecommerce, less than truckload (LTL) cargo shipping demands more flexibility than ever. Manage spend without sacrificing speed—let us help you find the right combination of LTL cargo services to gain efficiencies while exceeding customer expectations.",CAT5665,Ohio to Brampton,Dry Van,8000,8,48 x 40 x 60 (per pallet),327,2.8,0.17,96,0.11,14377,14377.25216,Net 90 days,USD,plt,US,9/18/2024,9/20/2024,9/22/2024,9/22/2024,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,CON7317,6000000.0,3.0,12/12/2022,12/12/2025,Jacqueline Bennett,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Production,CC85,GL3338,Ratha Natarajanan
PO9851,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,7000,7,48 x 40 x 60 (per pallet),327,2.9,0.25,74,0.12,12535,0.0,Net 90 days,USD,plt,US,2/7/2020,2/12/2020,2/15/2020,2/15/2020,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9865,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.9,0.25,74,0.12,7753,0.0,Net 90 days,USD,plt,US,7/30/2020,8/1/2020,8/3/2020,8/3/2020,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9853,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,7000,7,48 x 40 x 60 (per pallet),327,2.9,0.25,74,0.12,12535,0.0,Net 90 days,USD,plt,US,10/2/2020,10/7/2020,10/10/2020,10/10/2020,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9848,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,2.9,0.25,74,0.12,7753,0.0,Net 90 days,USD,plt,US,11/8/2020,11/11/2020,11/13/2020,11/13/2020,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9858,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,7000,7,48 x 40 x 60 (per pallet),327,2.9,0.25,74,0.12,12535,0.0,Net 90 days,USD,plt,US,12/25/2020,12/28/2020,12/30/2020,12/30/2020,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9854,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,7000,7,48 x 40 x 60 (per pallet),327,3.01,0.25,74,0.12,12787,0.0,Net 90 days,USD,plt,US,1/31/2021,2/3/2021,2/5/2021,2/5/2021,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9860,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,3.01,0.25,74,0.12,7934,0.0,Net 90 days,USD,plt,US,3/11/2021,3/13/2021,3/15/2021,3/15/2021,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9847,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,3.01,0.25,74,0.12,7934,0.0,Net 90 days,USD,plt,US,3/28/2021,3/31/2021,4/3/2021,4/3/2021,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9852,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,7000,7,48 x 40 x 60 (per pallet),327,3.01,0.25,74,0.12,12787,0.0,Net 90 days,USD,plt,US,6/18/2021,6/22/2021,6/25/2021,6/25/2021,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9855,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,7000,7,48 x 40 x 60 (per pallet),327,3.2,0.25,74,0.12,13223,0.0,Net 90 days,USD,plt,US,3/1/2022,3/3/2022,3/5/2022,3/5/2022,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9999,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,8000,8,48 x 40 x 60 (per pallet),327,3.2,0.25,96,0.12,16072,0.0,Net 90 days,USD,plt,US,3/7/2022,3/10/2022,3/12/2022,3/12/2022,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,"Pallet Jack, Inside Delivery",0,0.0,0.0,0,0,Laurie Anderson,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Assembly,CC84,GL3338,Ratha Natarajanan
PO9863,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,3.2,0.25,74,0.12,8245,0.0,Net 90 days,USD,plt,US,3/9/2022,3/11/2022,3/14/2022,3/14/2022,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9850,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,7000,7,48 x 40 x 60 (per pallet),327,3.2,0.25,74,0.12,13223,0.0,Net 90 days,USD,plt,US,3/22/2022,3/25/2022,3/28/2022,3/28/2022,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9845,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,3.2,0.25,74,0.12,8245,0.0,Net 90 days,USD,plt,US,4/24/2022,4/28/2022,5/1/2022,5/1/2022,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9861,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,3.2,0.25,74,0.12,8245,0.0,Net 90 days,USD,plt,US,7/13/2022,7/17/2022,7/19/2022,7/19/2022,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9841,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,3.2,0.25,74,0.12,8245,0.0,Net 90 days,USD,plt,US,9/5/2022,9/8/2022,9/10/2022,9/10/2022,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
PO9864,J.B. Hunt Transport Services,SUP0053,yes,1.5,2.7,LTL,Transportation Service,Ground freight,"J.B. Hunt offers Less Than Truckload (LTL) services, providing efficient transportation solutions for smaller freight shipments that don’t require a full truck. Their LTL services help businesses save costs by sharing truck space with other shipments, ensuring timely deliveries and flexible scheduling.",CAT5668,Ohio to Brampton,Dry Van,5000,5,48 x 40 x 60 (per pallet),327,3.2,0.25,74,0.12,8245,0.0,Net 90 days,USD,plt,US,12/12/2022,12/14/2022,12/16/2022,12/16/2022,"Liftgate required at delivery, Call 2 hours before delivery",Standard terms and conditions apply,Inside Delivery,0,0.0,0.0,0,0,Karen Bailey,Foseco Manufacturing,"20200 Sheldon Road, Cleveland, Ohio 44142 USA",Easeworkai,"canada, L6P 0A1 (Brampton)",Maintenance,CC80,GL3338,Ratha Natarajanan
